schedule_code,collection_date,program_code_array
WA,20/07/2015,R;O
WA,21/07/2015,R;O
WA,22/07/2015,R;O
WA,23/07/2015,R;O
WA,24/07/2015,R;O
WA,25/07/2015,
WA,26/07/2015,
WA,27/07/2015,L;O;S
WA,28/07/2015,L;O;S
WA,29/07/2015,L;O;S
WA,30/07/2015,L;O;S
WA,31/07/2015,L;O;S
WA,01/08/2015,
WA,02/08/2015,
WA,03/08/2015,
WA,04/08/2015,R;O
WA,05/08/2015,R;O
WA,06/08/2015,R;O
WA,07/08/2015,R;O
WA,08/08/2015,R;O
WA,09/08/2015,
WA,10/08/2015,L;O;S
WA,11/08/2015,L;O;S
WA,12/08/2015,L;O;S
WA,13/08/2015,L;O;S
WA,14/08/2015,L;O;S
WA,15/08/2015,
WA,16/08/2015,
WA,17/08/2015,R;O
WA,18/08/2015,R;O
WA,19/08/2015,R;O
WA,20/08/2015,R;O
WA,21/08/2015,R;O
WA,22/08/2015,
WA,23/08/2015,
WA,24/08/2015,L;O;S
WA,25/08/2015,L;O;S
WA,26/08/2015,L;O;S
WA,27/08/2015,L;O;S
WA,28/08/2015,L;O;S
WA,29/08/2015,
WA,30/08/2015,
WA,31/08/2015,R;O
WA,01/09/2015,R;O
WA,02/09/2015,R;O
WA,03/09/2015,R;O
WA,04/09/2015,R;O
WA,05/09/2015,
WA,06/09/2015,
WA,07/09/2015,
WA,08/09/2015,L;O;S
WA,09/09/2015,L;O;S
WA,10/09/2015,L;O;S
WA,11/09/2015,L;O;S
WA,12/09/2015,L;O;S
WA,13/09/2015,
WA,14/09/2015,R;O
WA,15/09/2015,R;O
WA,16/09/2015,R;O
WA,17/09/2015,R;O
WA,18/09/2015,R;O
WA,19/09/2015,
WA,20/09/2015,
WA,21/09/2015,L;O;S
WA,22/09/2015,L;O;S
WA,23/09/2015,L;O;S
WA,24/09/2015,L;O;S
WA,25/09/2015,L;O;S
WA,26/09/2015,
WA,27/09/2015,
WA,28/09/2015,R;O
WA,29/09/2015,R;O
WA,30/09/2015,R;O
WA,01/10/2015,R;O
WA,02/10/2015,R;O
WA,03/10/2015,
WA,04/10/2015,
WA,05/10/2015,L;O;S
WA,06/10/2015,L;O;S
WA,07/10/2015,L;O;S
WA,08/10/2015,L;O;S
WA,09/10/2015,L;O;S
WA,10/10/2015,
WA,11/10/2015,
WA,12/10/2015,
WA,13/10/2015,R;O
WA,14/10/2015,R;O
WA,15/10/2015,R;O
WA,16/10/2015,R;O
WA,17/10/2015,R;O
WA,18/10/2015,
WA,19/10/2015,L;O;S
WA,20/10/2015,L;O;S
WA,21/10/2015,L;O;S
WA,22/10/2015,L;O;S
WA,23/10/2015,L;O;S
WA,24/10/2015,
WA,25/10/2015,
WA,26/10/2015,R;O
WA,27/10/2015,R;O
WA,28/10/2015,R;O
WA,29/10/2015,R;O
WA,30/10/2015,R;O
WA,31/10/2015,
WA,01/11/2015,
WA,02/11/2015,L;O;S
WA,03/11/2015,L;O;S
WA,04/11/2015,L;O;S
WA,05/11/2015,L;O;S
WA,06/11/2015,L;O;S
WA,07/11/2015,
WA,08/11/2015,
WA,09/11/2015,R;O
WA,10/11/2015,R;O
WA,11/11/2015,R;O
WA,12/11/2015,R;O
WA,13/11/2015,R;O
WA,14/11/2015,
WA,15/11/2015,
WA,16/11/2015,L;O;S
WA,17/11/2015,L;O;S
WA,18/11/2015,L;O;S
WA,19/11/2015,L;O;S
WA,20/11/2015,L;O;S
WA,21/11/2015,
WA,22/11/2015,
WA,23/11/2015,R;O
WA,24/11/2015,R;O
WA,25/11/2015,R;O
WA,26/11/2015,R;O
WA,27/11/2015,R;O
WA,28/11/2015,
WA,29/11/2015,
WA,30/11/2015,L;O;S
WA,01/12/2015,L;O;S
WA,02/12/2015,L;O;S
WA,03/12/2015,L;O;S
WA,04/12/2015,L;O;S
WA,05/12/2015,
WA,06/12/2015,
WA,07/12/2015,R;O
WA,08/12/2015,R;O
WA,09/12/2015,R;O
WA,10/12/2015,R;O
WA,11/12/2015,R;O
WA,12/12/2015,
WA,13/12/2015,
WA,14/12/2015,L;O;S
WA,15/12/2015,L;O;S
WA,16/12/2015,L;O;S
WA,17/12/2015,L;O;S
WA,18/12/2015,L;O;S
WA,19/12/2015,
WA,20/12/2015,
WA,21/12/2015,R;O
WA,22/12/2015,R;O
WA,23/12/2015,R;O
WA,24/12/2015,R;O
WA,25/12/2015,
WA,26/12/2015,R;O
WA,27/12/2015,
WA,28/12/2015,L;O;S
WA,29/12/2015,L;O;S
