schedule_code,collection_date,program_code_array
WZ,12/08/2015,L;O;S;R
WZ,13/08/2015,L;O;S;R
WZ,14/08/2015,L;O;S;R
WZ,15/08/2015,
WZ,16/08/2015,
WZ,17/08/2015,L;O;S;R
WZ,18/08/2015,L;O;S;R
WZ,19/08/2015,L;O;S;R
WZ,20/08/2015,L;O;S;R
WZ,21/08/2015,L;O;S;R
WZ,22/08/2015,
WZ,23/08/2015,
WZ,24/08/2015,L;O;S;R
WZ,25/08/2015,L;O;S;R
WZ,26/08/2015,L;O;S;R
WZ,27/08/2015,L;O;S;R
WZ,28/08/2015,L;O;S;R
WZ,29/08/2015,
WZ,30/08/2015,
WZ,31/08/2015,L;O;S;R
WZ,01/09/2015,L;O;S;R
WZ,02/09/2015,L;O;S;R
WZ,03/09/2015,L;O;S;R
WZ,04/09/2015,L;O;S;R
WZ,05/09/2015,
WZ,06/09/2015,
WZ,07/09/2015,
WZ,08/09/2015,L;O;S;R
WZ,09/09/2015,L;O;S;R
WZ,10/09/2015,L;O;S;R
WZ,11/09/2015,L;O;S;R
WZ,12/09/2015,L;O;S;R
WZ,13/09/2015,
WZ,14/09/2015,L;O;S;R
WZ,15/09/2015,L;O;S;R
WZ,16/09/2015,L;O;S;R
WZ,17/09/2015,L;O;S;R
WZ,18/09/2015,L;O;S;R
WZ,19/09/2015,
WZ,20/09/2015,
WZ,21/09/2015,L;O;S;R
WZ,22/09/2015,L;O;S;R
WZ,23/09/2015,L;O;S;R
WZ,24/09/2015,L;O;S;R
WZ,25/09/2015,L;O;S;R
WZ,26/09/2015,
WZ,27/09/2015,
WZ,28/09/2015,L;O;S;R
WZ,29/09/2015,L;O;S;R
WZ,30/09/2015,L;O;S;R
WZ,01/10/2015,L;O;S;R
WZ,02/10/2015,L;O;S;R
WZ,03/10/2015,
WZ,04/10/2015,
WZ,05/10/2015,L;O;S;R
WZ,06/10/2015,L;O;S;R
WZ,07/10/2015,L;O;S;R
WZ,08/10/2015,L;O;S;R
WZ,09/10/2015,L;O;S;R
WZ,10/10/2015,
WZ,11/10/2015,
WZ,12/10/2015,
WZ,13/10/2015,L;O;S;R
WZ,14/10/2015,L;O;S;R
WZ,15/10/2015,L;O;S;R
WZ,16/10/2015,L;O;S;R
WZ,17/10/2015,L;O;S;R
WZ,18/10/2015,
WZ,19/10/2015,L;O;S;R
WZ,20/10/2015,L;O;S;R
WZ,21/10/2015,L;O;S;R
WZ,22/10/2015,L;O;S;R
WZ,23/10/2015,L;O;S;R
WZ,24/10/2015,
WZ,25/10/2015,
WZ,26/10/2015,L;O;S;R
WZ,27/10/2015,L;O;S;R
WZ,28/10/2015,L;O;S;R
WZ,29/10/2015,L;O;S;R
WZ,30/10/2015,L;O;S;R
WZ,31/10/2015,
WZ,01/11/2015,
WZ,02/11/2015,L;O;S;R
WZ,03/11/2015,L;O;S;R
WZ,04/11/2015,L;O;S;R
WZ,05/11/2015,L;O;S;R
WZ,06/11/2015,L;O;S;R
WZ,07/11/2015,
WZ,08/11/2015,
WZ,09/11/2015,L;O;S;R
WZ,10/11/2015,L;O;S;R
WZ,11/11/2015,L;O;S;R
WZ,12/11/2015,L;O;S;R
WZ,13/11/2015,L;O;S;R
WZ,14/11/2015,
WZ,15/11/2015,
WZ,16/11/2015,L;O;S;R
WZ,17/11/2015,L;O;S;R
WZ,18/11/2015,L;O;S;R
WZ,19/11/2015,L;O;S;R
WZ,20/11/2015,L;O;S;R
WZ,21/11/2015,
WZ,22/11/2015,
WZ,23/11/2015,L;O;S;R
WZ,24/11/2015,L;O;S;R
WZ,25/11/2015,L;O;S;R
WZ,26/11/2015,L;O;S;R
WZ,27/11/2015,L;O;S;R
WZ,28/11/2015,
WZ,29/11/2015,
WZ,30/11/2015,L;O;S;R
WZ,01/12/2015,L;O;S;R
WZ,02/12/2015,L;O;S;R
WZ,03/12/2015,L;O;S;R
WZ,04/12/2015,L;O;S;R
WZ,05/12/2015,
WZ,06/12/2015,
WZ,07/12/2015,L;O;S;R
WZ,08/12/2015,L;O;S;R
WZ,09/12/2015,L;O;S;R
WZ,10/12/2015,L;O;S;R
WZ,11/12/2015,L;O;S;R
WZ,12/12/2015,
WZ,13/12/2015,
WZ,14/12/2015,L;O;S;R
WZ,15/12/2015,L;O;S;R
WZ,16/12/2015,L;O;S;R
WZ,17/12/2015,L;O;S;R
WZ,18/12/2015,L;O;S;R
WZ,19/12/2015,
WZ,20/12/2015,
WZ,21/12/2015,L;O;S;R
WZ,22/12/2015,L;O;S;R
WZ,23/12/2015,L;O;S;R
WZ,24/12/2015,L;O;S;R
WZ,25/12/2015,
WZ,26/12/2015,L;O;S;R
WZ,27/12/2015,
WZ,28/12/2015,L;O;S;R
WZ,29/12/2015,L;O;S;R
WZ,30/12/2015,L;O;S;R
WZ,31/12/2015,L;O;S;R
