address_id,schedule_code,collection_day_array
45270,WB,6
36221,WB,5
2559,WB,5
2689,WB,3
7286,WB,6
26576,WA,3
18980,WZ,2;3;4;5;6
42208,WA,2
17190,WA,5
6613,WB,3
3183,WB,6
46729,WB,5
27233,WA,2
31452,WB,3
30066,WB,3
34334,WA,3
46458,WB,6
36525,WB,3
5850,WA,4
21276,WB,3
44051,WA,5
43449,WA,5
46273,WA,5
42860,WA,5
45984,WA,5
39908,WB,3
31201,WB,6
40536,WA,4
40568,WB,2
40106,WB,3
22759,WB,4
26017,WB,6
31119,WA,6
3579,WZ,2;3;4;5;6
19332,WB,3
43652,WB,3
45291,WA,6
15176,WB,3
31166,WB,3
18976,WB,5
47360,WA,5
16785,WB,6
46425,WB,6
45524,WB,3
42922,WA,3
22022,WB,2
5195,ZZ,
35010,WA,3
45077,WA,2
22975,WB,3
38434,ZZ,
25196,WA,4
40151,WA,5
30952,WZ,2;3;4;5;6
25489,WA,2
32099,WZ,2;3;4;5;6
44004,WB,3
22980,WB,3
33877,WB,3
41798,WA,3
19981,WB,3
7613,WB,4
38147,WB,3
40117,WB,3
34352,WB,3
29963,WB,3
20657,ZZ,
45205,WA,2
33886,WA,5
6564,WA,6
38128,WB,4
34218,WA,5
10483,WA,5
34725,WA,5
36956,WA,5
7835,WA,5
42796,WA,5
2658,WA,5
18104,WB,6
2768,WB,3
2859,WA,2
3098,WA,3
38857,WA,6
18227,WA,3
22513,WA,2
5974,WA,5
12328,WA,3
12601,WB,6
26761,WZ,2;3;4;5;6
26797,WA,3
43947,WB,3
10030,WB,3
36359,WA,2
35551,WB,5
35579,WB,6
39759,WA,6
18249,WA,6
16721,WA,3
33702,WA,2
13830,WA,2
2335,WB,3
2769,WB,6
37730,WB,2
39383,WA,3
11703,WB,2
12689,WB,3
4120,WB,3
15875,WA,6
22436,WZ,2;3;4;5;6
24163,WB,3
33327,WB,3
42198,WA,6
15146,WB,3
29574,WB,3
29081,WA,2
18180,WZ,2;3;4;5;6
18433,WA,2
5178,WA,6
5438,WA,6
19594,WA,6
10933,WA,6
47040,WB,6
47041,WB,6
39584,WA,5
45192,WB,3
8205,WB,3
26843,WB,6
21701,WA,6
11473,WA,6
41951,WZ,2;3;4;5;6
31309,WA,4
2980,WA,4
16699,WA,4
21279,WA,6
21397,WB,6
21292,WA,3
20598,WA,6
20621,WB,5
44955,WB,5
39903,WB,2
40525,WB,3
9857,WA,2
31962,WB,2
15970,WB,6
31709,WA,6
31605,WA,3
10330,WA,4
14458,WA,4
22796,WA,4
26966,WA,4
32558,WA,4
40044,WB,3
34737,WB,3
45982,WA,5
45792,WA,6
46030,WA,6
39950,WA,6
7344,WB,6
16424,WA,5
15075,WA,3
35719,WA,5
35870,WA,3
31992,WA,6
41361,WB,3
41378,WB,3
41325,WB,3
41473,WA,2
16442,WA,6
10495,WB,3
10534,WA,5
47072,WB,6
11062,WB,3
40374,WB,3
37837,WA,5
23272,WB,4
18150,WA,3
10222,WZ,2;3;4;5;6
33105,WA,4
11356,WA,6
11460,WA,2
27330,WB,3
23320,WB,2
33684,WA,5
13484,WB,6
16729,WA,3
15861,WB,2
26202,WB,6
26304,WA,3
4541,WB,6
46426,WB,6
22113,WB,5
37295,WA,3
37836,WA,3
31716,WB,2
21033,WA,4
19129,WA,6
36301,WA,5
31715,WA,3
35501,WB,4
32861,WB,2
32092,WB,3
40199,ZZ,
19110,WB,3
35972,WA,3
28923,WB,3
9945,WA,5
45332,WB,3
16621,WB,5
16667,WA,4
39449,WB,3
37772,WB,4
40888,WB,6
41856,WZ,2;3;4;5;6
39143,WB,5
38276,WB,2
38927,WB,2
39397,WA,3
21013,WA,4
36829,WA,4
46027,WB,6
12072,WB,6
20223,WB,6
21508,WB,3
36746,WB,3
33209,WB,3
46853,WB,6
20753,WB,2
20917,WA,2
21045,WA,2
20867,WB,5
45003,WA,3
45004,WA,3
45006,WA,6
21942,WZ,2;3;4;5;6
40006,WB,3
38876,WB,4
34257,WB,6
34292,WB,2
34423,WA,5
45241,WA,5
35915,WB,3
37324,WB,3
11888,WB,3
12462,WA,3
2722,WB,3
22269,WB,3
26166,WA,3
8788,WB,6
41289,WA,5
45894,WA,5
44456,WA,5
46852,WB,6
20264,WZ,2;3;4;5;6
20653,WA,2
21010,WA,4
21365,WA,3
21399,WA,6
35286,WB,6
35298,WA,6
35350,WA,2
36195,WA,4
35489,WB,6
36832,WA,4
36542,WB,3
37801,WB,2
3976,WB,6
17225,WB,6
6858,WB,3
19639,WB,3
32998,WB,3
8147,ZZ,
41839,WB,6
43193,WA,4
43194,WA,3
2168,WB,5
2114,WB,5
45795,WB,5
37785,WA,5
35688,WA,3
37087,WA,5
39676,WA,5
41608,WA,5
10912,WB,5
11078,WA,3
8218,WA,4
8240,WA,4
39443,WB,4
3312,WB,2
3336,WA,5
22289,WB,6
17615,WB,2
17676,WA,4
21225,WB,6
3284,WA,2
3317,WA,6
3422,WA,5
32351,WB,3
6080,WA,2
7879,WB,3
5947,WZ,2;3;4;5;6
36667,WB,3
10009,WA,6
36145,WA,4
34799,WA,4
10833,WB,3
15940,WA,4
15941,WA,6
10877,WB,3
10625,WA,2
13695,WA,6
13697,WB,2
13698,WB,5
13699,WB,6
11645,WB,5
11646,WB,5
11097,WB,4
10207,WA,2
17543,WB,3
11175,WB,3
11675,WB,3
10558,WB,4
10828,WA,6
10816,WA,4
10817,WB,6
10629,WA,4
10829,WA,2
10250,WB,2
13323,WB,6
13325,WB,4
35948,WA,2
39254,WB,5
39288,WA,5
4442,WB,4
3101,WB,6
32066,WB,4
36621,WB,5
36541,WA,4
14236,WB,5
14238,WA,5
18815,WA,6
21378,WA,4
11519,WA,3
6550,WA,5
10112,WA,2
10921,WA,6
8498,WA,4
4444,WB,6
36606,WB,2
36468,WA,3
36545,WA,4
36570,WB,3
36738,WA,6
19167,WB,2
19246,WB,4
40640,WB,4
33232,WZ,2;3;4;5;6
18832,WB,6
6837,WB,2
47042,WB,6
40339,WA,5
5924,WB,3
10161,WZ,2;3;4;5;6
35670,WB,2
10924,WA,2
8417,ZZ,
13875,WB,2
33357,WB,6
35994,WB,3
40348,WB,6
44065,WB,3
9377,WA,2
10035,WA,3
25796,WB,4
33293,WB,5
33468,WB,3
33476,WB,3
25275,WA,5
46669,WB,3
46366,WB,5
46365,WB,5
46364,WB,5
46368,WB,5
47545,WB,3
33536,WB,4
11342,WB,5
8107,WB,4
11916,WA,4
11491,WA,3
10972,WB,5
15089,WB,3
15091,WA,4
12197,WA,6
15435,WB,6
14449,WB,2
14450,WA,4
11832,WB,5
11829,WA,2
9891,WB,6
11452,WA,6
12014,WA,2
11292,WA,3
11606,WB,5
38260,WA,5
35640,WA,3
35827,WB,4
38723,WA,4
33135,ZZ,
12317,WZ,2;3;4;5;6
23516,WB,5
15656,WB,5
11481,WA,4
11341,WA,2
11069,WB,3
15936,WA,4
15938,WB,5
15939,WB,4
25527,WA,2
22877,WA,3
22878,WA,2
22999,WB,5
11060,WA,3
14147,WA,2
12792,WA,3
13713,WA,4
13171,WA,2
13196,WB,3
13375,WB,6
13687,WB,3
13688,WA,3
13689,WA,4
6319,WB,4
6322,WB,5
6324,WA,5
6655,WA,5
6656,WB,5
6657,WA,5
6961,WA,4
9109,WA,5
9117,WB,6
6548,WB,2
6549,WB,3
9180,WA,2
9140,WA,4
9142,WA,6
9143,WA,3
14021,WA,6
14568,WA,6
17048,WA,4
13923,WB,2
13824,WB,4
13825,WB,2
13826,WA,6
10025,WA,5
10026,WB,3
9240,WA,3
9321,WB,3
9322,WB,2
11483,WB,6
11484,WB,5
6318,WA,3
8500,WB,6
8374,WB,4
8375,WA,3
8376,WA,4
8378,WA,5
6819,WA,4
6821,WB,4
6615,WB,2
6616,WA,5
11098,WA,2
11099,WB,4
12017,WA,5
12018,WA,3
8015,WB,4
8017,WB,4
8019,WB,6
11527,WB,2
11071,WA,3
13043,WA,2
12805,WB,3
12806,WA,5
10484,WB,2
12004,WB,6
10193,WA,4
10195,WB,4
12049,WB,2
11286,WA,4
11287,WA,6
11354,WA,3
11355,WA,3
11358,WA,4
11359,WA,6
11360,WA,4
11858,WA,3
11853,WA,2
10564,WB,4
10568,WA,3
10569,WB,4
10481,WA,6
11529,WA,4
11530,WB,3
11531,WA,6
11308,WB,5
11306,WA,4
11307,WB,4
15158,WA,6
15159,WA,6
14357,WB,5
14358,WA,3
13594,WA,4
12293,WA,3
12294,WB,5
12571,WA,6
15209,WA,6
15207,WA,6
25776,WB,4
12764,WA,5
12765,WA,3
12766,WB,6
15324,WB,6
15325,WA,3
17049,WB,3
10583,WB,6
14071,WA,4
13300,WB,6
10116,WA,2
10117,WA,5
8222,WA,3
8223,WB,2
8224,WB,4
8461,WB,5
8264,WA,6
12533,WB,6
12534,WB,2
10830,WA,3
10639,WA,6
10640,WA,4
10642,WA,5
10643,WA,3
10989,WA,6
6617,WA,6
6620,WA,6
6578,WA,4
6063,WB,4
8237,WA,2
8241,WA,4
8242,WB,3
9887,WA,5
8450,WA,5
8451,WB,3
6428,WB,3
8447,WB,3
9239,WB,4
9307,WB,5
9959,WA,2
6140,WB,6
6425,WA,5
6426,WA,4
6733,WB,6
6576,WB,3
6577,WB,5
4458,WB,2
4531,WA,2
5472,WA,3
5468,WA,5
5715,WA,4
8541,WB,4
8542,WB,2
9018,WB,5
8221,WB,5
8235,WB,4
8972,WA,2
8974,WB,4
8063,WA,4
8580,WA,5
9089,WA,4
9421,WA,4
9426,WA,4
10466,WB,6
10467,WA,6
8847,WA,2
8849,WA,3
8851,WB,6
8854,WA,2
8856,WA,3
9372,WB,6
9373,WA,5
8609,WB,5
8612,WA,6
8613,WA,3
8052,WA,2
8053,WB,4
9413,WA,6
6573,WA,2
6574,WB,2
6575,WB,2
9587,WA,5
9620,WB,3
8756,WB,5
9391,WA,2
8986,WA,3
13344,WB,6
11478,WA,5
11475,WB,3
11697,WB,2
11699,WA,3
14514,WA,4
14515,WB,6
14822,WA,3
14393,WA,6
14394,WA,6
8194,WB,3
8195,WA,5
8197,WA,6
8198,WA,5
8460,WB,5
8964,WB,6
8965,WA,6
12236,WB,3
12237,WA,5
12238,WB,2
11111,WA,5
11112,WB,4
11113,WA,6
11114,WB,2
11115,WB,3
8821,WB,6
10990,WB,4
12761,WB,2
10733,WA,5
10735,WB,4
10736,WB,2
8004,WB,6
8005,WA,3
12793,WA,3
13987,WB,2
13988,WA,4
14012,WB,6
13527,WB,3
11027,WB,2
13844,WA,6
10119,WA,2
10120,WB,3
13683,WA,2
13932,WA,5
13933,WA,5
13443,WA,3
13994,WA,3
7892,WB,5
7844,WB,2
7519,WA,2
7580,WB,3
6388,WB,5
6139,WA,4
8265,WB,2
8267,WA,4
9920,WA,5
10121,WB,4
12803,WB,6
10224,WB,5
11041,WB,2
13270,WZ,2;3;4;5;6
14022,WA,4
13268,WA,5
14317,WB,3
14318,WB,3
12745,WA,6
12746,WB,5
13022,WB,6
13023,WA,3
13248,WA,2
6734,WB,2
6206,WA,5
6658,WA,3
9433,WA,5
9686,WB,6
9170,WA,5
9819,WB,5
9820,WA,4
9822,WB,3
9410,WB,2
9746,WA,2
10118,WA,2
10391,WB,2
